
2024/03/15 (16:02:19) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/15 (16:12:41) | ===> btop++ v.1.3.2
2024/03/15 (16:12:41) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/15 (20:11:49) | ===> btop++ v.1.3.2
2024/03/15 (20:11:49) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/17 (15:48:23) | ===> btop++ v.1.3.2
2024/03/17 (15:48:23) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2024/03/17 (16:06:26) | ===> btop++ v.1.3.2
2024/03/17 (16:06:26) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2024/03/17 (16:09:19) | ===> btop++ v.1.3.2
2024/03/17 (16:09:19) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2024/03/17 (16:09:21) | ===> btop++ v.1.3.2
2024/03/17 (16:09:21) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2024/03/17 (16:09:24) | ===> btop++ v.1.3.2
2024/03/17 (16:09:24) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2024/03/17 (16:11:13) | ===> btop++ v.1.3.2
2024/03/17 (16:11:13) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/17 (17:58:04) | ===> btop++ v.1.3.2
2024/03/17 (17:58:04) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/17 (18:09:06) | ===> btop++ v.1.3.2
2024/03/17 (18:09:06) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/17 (23:43:30) | ===> btop++ v.1.3.2
2024/03/17 (23:43:30) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/17 (23:45:51) | ===> btop++ v.1.3.2
2024/03/17 (23:45:51) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/17 (23:49:39) | ===> btop++ v.1.3.2
2024/03/17 (23:49:39) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/17 (23:50:07) | ===> btop++ v.1.3.2
2024/03/17 (23:50:07) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/17 (23:50:09) | ===> btop++ v.1.3.2
2024/03/17 (23:50:09) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/18 (00:06:25) | ===> btop++ v.1.3.2
2024/03/18 (00:06:25) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/18 (00:06:35) | ===> btop++ v.1.3.2
2024/03/18 (00:06:35) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/18 (18:21:26) | ===> btop++ v.1.3.2
2024/03/18 (18:21:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/18 (18:27:27) | ===> btop++ v.1.3.2
2024/03/18 (18:27:27) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/18 (20:09:44) | ===> btop++ v.1.3.2
2024/03/18 (20:09:44) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/19 (17:27:18) | ===> btop++ v.1.3.2
2024/03/19 (17:27:18) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/20 (15:05:29) | ===> btop++ v.1.3.2
2024/03/20 (15:05:29) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/20 (19:55:48) | ===> btop++ v.1.3.2
2024/03/20 (19:55:48) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/22 (21:42:03) | ===> btop++ v.1.3.2
2024/03/22 (21:42:03) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/03/22 (21:42:08) | WARNING: Failed to join _runner thread on exit!
2024/03/22 (21:42:08) | ERROR: No response from Runner thread, quitting!

2024/03/23 (13:41:09) | ===> btop++ v.1.3.2
2024/03/23 (13:41:09) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/25 (20:32:07) | ===> btop++ v.1.3.2
2024/03/25 (20:32:07) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/26 (20:43:20) | ===> btop++ v.1.3.2
2024/03/26 (20:43:20) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/30 (16:11:56) | ===> btop++ v.1.3.2
2024/03/30 (16:11:56) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/31 (15:50:08) | ===> btop++ v.1.3.2
2024/03/31 (15:50:08) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/31 (22:35:55) | ===> btop++ v.1.3.2
